Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,4.27,4.4,4.128,4.29,4.29,16300,
2020-01-03,4.21,4.35,4.21,4.26,4.26,10300,-0.006993006993007089
2020-01-06,7.25,7.62,5.6,6.11,6.11,10667500,0.43427230046948373
2020-01-07,5.72,6.25,5.21,5.87,5.87,794300,-0.039279869067103124
2020-01-08,5.6,5.956,5.5,5.77,5.77,202100,-0.017035775127768438
2020-01-09,5.85,6.0,5.53,5.69,5.69,151200,-0.013864818024263315
2020-01-10,5.64,5.98,5.55,5.9,5.9,150300,0.03690685413005279
2020-01-13,5.89,6.06,5.59,5.7,5.7,131900,-0.03389830508474578
2020-01-14,5.79,6.1,5.79,6.02,6.02,88200,0.056140350877192935
2020-01-15,6.19,6.95,6.02,6.83,6.83,403000,0.13455149501661134
2020-01-16,6.83,7.13,6.6,7.06,7.06,183000,0.03367496339677878
2020-01-17,6.1,6.53,6.03,6.16,6.16,311000,-0.1274787535410764
2020-01-21,6.37,6.74,5.99,6.04,6.04,225400,-0.019480519480519543
2020-01-22,6.1,6.14,5.92,6.03,6.03,41200,-0.0016556291390728006
2020-01-23,6.08,6.13,5.9,5.92,5.92,37400,-0.018242122719734688
2020-01-24,5.81,5.99,5.8,5.9,5.9,41200,-0.0033783783783782884
2020-01-27,5.54,5.9,5.54,5.71,5.71,120600,-0.03220338983050852
2020-01-28,5.67,5.79,5.31,5.4,5.4,90000,-0.05429071803852881
2020-01-29,5.47,5.59,5.42,5.48,5.48,22900,0.014814814814814836
2020-01-30,5.44,5.57,5.131,5.25,5.25,91600,-0.04197080291970812
2020-01-31,5.2,5.45,4.91,5.07,5.07,100300,-0.03428571428571425
2020-02-03,5.06,5.47,4.905,5.37,5.37,132400,0.05917159763313595
2020-02-04,5.46,5.63,5.27,5.44,5.44,163200,0.013035381750465591
2020-02-05,5.41,5.7,4.47,4.51,4.51,267700,-0.17095588235294124
2020-02-06,4.5,4.66,3.85,3.99,3.99,1768700,-0.11529933481152987
2020-02-07,4.03,4.2,4.0,4.08,4.08,374400,0.022556390977443552
2020-02-10,4.07,4.1,3.92,3.97,3.97,253400,-0.026960784313725505
2020-02-11,3.96,4.108,3.76,3.96,3.96,568300,-0.0025188916876575096
2020-02-12,4.01,4.02,3.9,3.99,3.99,269300,0.007575757575757569
2020-02-13,3.96,4.25,3.88,4.19,4.19,352100,0.05012531328320802
2020-02-14,4.22,4.3,3.95,4.02,4.02,190600,-0.04057279236276867
2020-02-18,4.09,4.3,3.99,4.22,4.22,434400,0.04975124378109452
2020-02-19,4.21,4.3,4.11,4.21,4.21,280300,-0.0023696682464454666
2020-02-20,4.24,4.4,4.08,4.37,4.37,247100,0.038004750593824355
2020-02-21,4.35,4.44,4.24,4.27,4.27,99700,-0.022883295194508158
2020-02-24,4.23,4.417,4.05,4.16,4.16,143200,-0.025761124121779777
2020-02-25,4.15,4.27,3.85,3.9,3.9,164100,-0.0625
2020-02-26,3.9,4.05,3.75,3.82,3.82,134400,-0.02051282051282055
2020-02-27,3.88,4.02,3.47,3.63,3.63,173400,-0.04973821989528793
2020-02-28,3.58,3.91,3.52,3.71,3.71,96400,0.02203856749311295
2020-03-02,3.79,4.06,3.72,3.91,3.91,208300,0.0539083557951483
2020-03-03,4.01,4.05,3.65,3.72,3.72,104400,-0.04859335038363166
2020-03-04,3.91,4.3,3.9,4.25,4.25,214500,0.14247311827956977
2020-03-05,4.25,4.41,4.05,4.07,4.07,86000,-0.04235294117647048
2020-03-06,3.92,4.09,3.77,3.83,3.83,108300,-0.05896805896805901
2020-03-09,3.6,3.78,3.3,3.36,3.36,137400,-0.12271540469973896
2020-03-10,3.51,3.66,3.15,3.43,3.43,116400,0.02083333333333348
2020-03-11,3.32,3.32,2.96,3.03,3.03,154200,-0.11661807580174932
2020-03-12,2.8,2.9,2.53,2.73,2.73,184500,-0.09900990099009899
2020-03-13,3.09,3.09,2.38,2.68,2.68,187700,-0.01831501831501825
2020-03-16,2.49,2.63,2.15,2.17,2.17,177500,-0.19029850746268662
2020-03-17,2.3,2.42,2.17,2.38,2.38,94100,0.09677419354838701
2020-03-18,2.31,2.55,2.19,2.22,2.22,122800,-0.0672268907563024
2020-03-19,2.27,2.55,2.13,2.48,2.48,92900,0.11711711711711703
2020-03-20,2.5,2.95,2.5,2.58,2.58,128900,0.040322580645161255
2020-03-23,2.75,3.06,2.48,2.65,2.65,192400,0.027131782945736482
2020-03-24,2.84,2.965,2.54,2.78,2.78,127700,0.049056603773584895
2020-03-25,2.82,3.37,2.8,3.1,3.1,465200,0.11510791366906492
2020-03-26,3.16,3.35,3.05,3.08,3.08,105900,-0.006451612903225823
2020-03-27,2.92,3.28,2.71,3.24,3.24,175500,0.051948051948051965
2020-03-30,3.22,3.22,2.81,2.87,2.87,126900,-0.1141975308641976
2020-03-31,2.81,2.94,2.65,2.8,2.8,54200,-0.024390243902439157
2020-04-01,2.66,2.8,2.47,2.55,2.55,63800,-0.0892857142857143
2020-04-02,2.47,2.7,2.45,2.56,2.56,56500,0.0039215686274509665
2020-04-03,2.56,2.97,2.4,2.9,2.9,140100,0.1328125
